,COMMUNITY AREA NAME,KWH JANUARY 2010,KWH FEBRUARY 2010,KWH MARCH 2010,KWH APRIL 2010,KWH MAY 2010,KWH JUNE 2010,KWH JULY 2010,KWH AUGUST 2010,KWH SEPTEMBER 2010,KWH OCTOBER 2010,KWH NOVEMBER 2010,KWH DECEMBER 2010,TOTAL KWH,ELECTRICITY ACCOUNTS,ZERO KWH ACCOUNTS,THERM JANUARY 2010,THERM FEBRUARY 2010,THERM MARCH 2010,TERM APRIL 2010,THERM MAY 2010,THERM JUNE 2010,THERM JULY 2010,THERM AUGUST 2010,THERM SEPTEMBER 2010,THERM OCTOBER 2010,THERM NOVEMBER 2010,THERM DECEMBER 2010,TOTAL THERMS,GAS ACCOUNTS,KWH TOTAL SQFT,THERMS TOTAL SQFT,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,OCCUPIED UNITS PERCENTAGE,RENTER-OCCUPIED HOUSING UNITS,RENTER-OCCUPIED HOUSING PERCENTAGE
257,Albany Park,2220671.0,2109977.0,2078785.0,2080695.0,2582217.0,2881111.0,2683380.0,2614551.0,2196303.0,2236975.0,2572044.0,2611331.0,28868040.0,636,363,270493.0,213493.0,158624.0,82739.0,47881.0,25599.0,20464.0,18072.0,24207.0,40705.0,93500.0,206269.0,1202046.0,237,1643197.0,1459262.0,20271.0,7713.0,1.65,66.77,678.87,6822.0,0.8845,4535.0,0.6648
2529,Archer Heights,1681133.0,1537013.0,1508250.0,1604688.0,1769408.0,1983709.0,1916261.0,1864656.0,1671363.0,1627799.0,1659764.0,1874740.0,20698784.0,114,58,263351.0,221963.0,166892.0,94288.0,67741.0,62986.0,66531.0,75045.0,71108.0,77913.0,112594.0,206492.0,1486904.0,105,1422458.0,1793970.0,4055.0,1597.0,1.29,51.49,219.83,1472.0,0.9217,644.0,0.4375
2926,Armour Square,1019810.0,1182215.0,1043623.0,1020908.0,1069333.0,1135115.0,1403466.0,1307974.0,1111612.0,1032310.0,1169747.0,1345210.0,13841323.0,404,76,121277.0,83625.0,94582.0,44519.0,27671.0,22174.0,19444.0,20396.0,19731.0,28473.0,62263.0,112212.0,656367.0,67,1025975.0,903924.0,5294.0,2468.0,1.8,36.85,165.3,2275.0,0.9218,1723.0,0.7574
3207,Ashburn,2508955.0,2667015.0,2508769.0,2639879.0,3348938.0,3448348.0,3697114.0,3116143.0,2741147.0,3229727.0,3303222.0,3801941.0,37011198.0,281,123,190792.0,164349.0,132801.0,59017.0,31137.0,21464.0,10477.0,22907.0,14293.0,28620.0,61891.0,132498.0,870246.0,208,1809982.0,1773419.0,14401.0,5094.0,1.31,42.66,683.51,4751.0,0.9327,971.0,0.2044
4077,Auburn Gresham,2098056.0,1966320.0,1846645.0,1750305.0,1950891.0,2209779.0,2191244.0,2090741.0,1670173.0,1734975.0,2273953.0,2736907.0,24519989.0,727,389,455320.0,397220.0,281565.0,133573.0,82845.0,39754.0,29625.0,27948.0,28063.0,63842.0,177954.0,394243.0,2111952.0,407,2436693.0,2360039.0,22248.0,10467.0,1.46,61.23,1148.76,8659.0,0.8273,5278.0,0.6095
5497,Austin,4914217.0,4602145.0,4276679.0,3741778.0,4655376.0,5035923.0,5490870.0,5368086.0,4598089.0,4103613.0,4760380.0,5642098.0,57189254.0,1249,709,824780.0,738069.0,523439.0,261901.0,152696.0,97750.0,87539.0,81756.0,94876.0,144435.0,349969.0,697764.0,4054974.0,663,5074297.0,4245945.0,48897.0,19985.0,1.58,59.6,2061.92,16903.0,0.8458,11419.0,0.6756
8012,Avalon Park,765318.0,591094.0,548456.0,546482.0,561253.0,553416.0,550277.0,577188.0,484164.0,585935.0,747036.0,855011.0,7365630.0,121,62,130575.0,106298.0,75686.0,43561.0,31215.0,25783.0,22612.0,22742.0,23080.0,30950.0,52525.0,121928.0,686955.0,111,605375.0,969393.0,3553.0,1527.0,1.33,57.29,218.93,1335.0,0.8743,335.0,0.2509
8351,Avondale,1411929.0,1355511.0,1326372.0,1241245.0,1618390.0,1788565.0,1811734.0,1663774.0,1484830.0,1470532.0,1605170.0,1791242.0,18569294.0,255,157,219380.0,180556.0,145576.0,81719.0,39717.0,23123.0,19601.0,18349.0,18701.0,29580.0,67356.0,166983.0,1010641.0,207,1305355.0,1022718.0,12002.0,4951.0,1.45,61.82,469.6,4342.0,0.877,2794.0,0.6435
9312,Belmont Cragin,2089837.0,2400735.0,2210776.0,2274712.0,2725378.0,3080353.0,3024102.0,2990352.0,2574851.0,2401706.0,2818770.0,2967803.0,31559375.0,866,322,495569.0,461671.0,300423.0,139364.0,99034.0,56940.0,50769.0,51217.0,53287.0,91421.0,215208.0,502957.0,2517860.0,429,2695775.0,2806677.0,29058.0,9026.0,1.39,55.29,1499.9,8197.0,0.9081,4409.0,0.5379
11126,Beverly,560023.0,584902.0,518471.0,548344.0,684296.0,779664.0,780407.0,689834.0,572004.0,565168.0,762021.0,729952.0,7775086.0,285,104,111224.0,90435.0,69747.0,28649.0,17250.0,11365.0,8395.0,8128.0,7582.0,11809.0,40152.0,92980.0,497716.0,131,818592.0,644045.0,9250.0,4671.0,1.63,58.32,399.42,4181.0,0.8951,1952.0,0.4669
11697,Bridgeport,2649974.0,2551970.0,2848726.0,2747138.0,3298406.0,3410631.0,3693863.0,3383587.0,3272752.0,2981207.0,2918982.0,2657128.0,36414364.0,343,164,356488.0,266991.0,248975.0,79428.0,45634.0,25555.0,22752.0,19879.0,23557.0,39833.0,153871.0,333115.0,1616078.0,259,1746218.0,2872025.0,16640.0,7306.0,1.44,59.13,598.41,6445.0,0.8822,3820.0,0.5927
12622,Brighton Park,1347827.0,1410908.0,1259798.0,1238368.0,1404637.0,1614426.0,1632470.0,1726260.0,1502387.0,1319201.0,1394203.0,1512031.0,17362516.0,292,152,274034.0,231872.0,175240.0,69596.0,41790.0,27871.0,21588.0,19866.0,21597.0,33852.0,91910.0,216806.0,1226022.0,243,1877358.0,1894554.0,16846.0,5413.0,1.4,54.2,791.33,4624.0,0.8542,2677.0,0.5789
13584,Burnside,264004.0,324667.0,308677.0,302692.0,341032.0,356029.0,340311.0,309799.0,292797.0,277470.0,338174.0,423190.0,3878842.0,117,42,83168.0,57775.0,55350.0,13541.0,8541.0,2637.0,2325.0,2038.0,2505.0,10967.0,30734.0,86022.0,355603.0,42,472742.0,460918.0,1900.0,893.0,1.51,66.73,145.37,751.0,0.841,450.0,0.5992
13694,Calumet Heights,1546739.0,1446454.0,1363576.0,1414796.0,1650509.0,1871270.0,1952576.0,1680314.0,1383376.0,1361837.0,1751805.0,2017277.0,19440529.0,184,102,180225.0,118939.0,162636.0,68413.0,54959.0,40991.0,35727.0,33227.0,39528.0,53833.0,103837.0,187154.0,1079469.0,144,831770.0,1281634.0,4144.0,1914.0,1.54,55.34,315.66,1717.0,0.897,634.0,0.3692
14180,Chatham,886167.0,862385.0,838307.0,844807.0,960821.0,1113659.0,1136125.0,1022549.0,845302.0,907896.0,1062348.0,1195916.0,11676282.0,634,414,263302.0,218935.0,173999.0,89133.0,51287.0,23891.0,18080.0,17893.0,18930.0,38777.0,107756.0,233130.0,1255113.0,249,1390638.0,1268345.0,17272.0,10435.0,1.5,56.36,686.53,8396.0,0.8046,5933.0,0.7066
15123,Chicago Lawn,1075366.0,1029545.0,983100.0,990490.0,1184787.0,1291230.0,1318809.0,1415874.0,1035276.0,1018442.0,1144872.0,1275472.0,13763263.0,421,397,254142.0,215874.0,150095.0,74485.0,43653.0,27809.0,28042.0,25512.0,25395.0,42981.0,96976.0,219225.0,1204189.0,375,1078653.0,1093851.0,22701.0,7862.0,1.47,62.48,1208.49,6456.0,0.8212,3732.0,0.5781
16489,Clearing,863373.0,811436.0,749534.0,802344.0,948137.0,1083483.0,1029279.0,1051734.0,850695.0,779920.0,883106.0,1037354.0,10890395.0,216,95,133721.0,116137.0,83866.0,37288.0,19628.0,11570.0,8989.0,8882.0,9547.0,16271.0,41335.0,101002.0,588236.0,129,715613.0,729699.0,7065.0,2910.0,1.42,42.58,339.73,2683.0,0.922,1015.0,0.3782
17100,Douglas,6624880.0,6691612.0,6314805.0,6310737.0,7228751.0,7998428.0,9175928.0,9096556.0,7657890.0,6727588.0,7140361.0,7717075.0,88684611.0,804,298,380809.0,304127.0,220432.0,114488.0,73311.0,44556.0,46042.0,48104.0,46220.0,94124.0,191760.0,336065.0,1900038.0,73,2128961.0,1631858.0,9663.0,4405.0,2.39,35.36,166.33,3747.0,0.8506,2559.0,0.6829
17272,Dunning,1505577.0,1654605.0,1520959.0,1566544.0,1865673.0,2161247.0,2275265.0,2186841.0,1795222.0,1668599.0,1847180.0,1992827.0,22040539.0,589,190,350778.0,291171.0,214158.0,110174.0,94995.0,56889.0,36487.0,37954.0,42678.0,65401.0,154612.0,309917.0,1765214.0,322,2456674.0,2460057.0,18478.0,7832.0,1.57,53.8,864.68,7301.0,0.9322,2200.0,0.3013
18373,East Garfield Park,1887506.0,2012164.0,1807533.0,1837159.0,2066725.0,2037966.0,2255292.0,2233284.0,2051976.0,1835099.0,2028889.0,2555553.0,24609146.0,494,281,546908.0,340160.0,373930.0,107478.0,59865.0,30747.0,20241.0,18952.0,23442.0,57663.0,224467.0,461571.0,2265424.0,241,2396497.0,2526507.0,14728.0,6426.0,1.54,53.75,696.45,5145.0,0.8007,4066.0,0.7903
18981,East Side,1234030.0,1169506.0,1024702.0,1029100.0,1024856.0,1023273.0,908406.0,954301.0,877768.0,993220.0,1254373.0,1276189.0,12769724.0,143,75,125850.0,103835.0,83349.0,36894.0,19382.0,9893.0,6646.0,6123.0,7115.0,17490.0,49495.0,106222.0,572294.0,145,979754.0,868026.0,7756.0,2555.0,1.31,55.1,461.25,2269.0,0.8881,906.0,0.3993
19573,Edgewater,5791710.0,4436045.0,3300147.0,3314944.0,3606998.0,4537193.0,4025829.0,3798947.0,3092907.0,3821281.0,6921551.0,6641729.0,53289281.0,2930,1015,619343.0,510906.0,378394.0,194658.0,135070.0,66514.0,55724.0,56247.0,71350.0,147575.0,294651.0,601840.0,3132272.0,226,8671406.0,4477430.0,40043.0,22893.0,3.05,58.34,495.13,20530.0,0.8968,13273.0,0.6465
20600,Edison Park,383938.0,410620.0,401786.0,440408.0,558233.0,608687.0,580454.0,514053.0,423869.0,410622.0,456842.0,467644.0,5657156.0,192,55,117982.0,91900.0,73551.0,38658.0,22768.0,12520.0,9094.0,7906.0,8715.0,15166.0,34834.0,78443.0,511537.0,95,524261.0,465178.0,4894.0,2774.0,1.57,46.21,188.86,2599.0,0.9369,1233.0,0.4744
20939,Englewood,1783889.0,1966486.0,1564426.0,1549178.0,1874182.0,2108378.0,2162899.0,2244602.0,1664033.0,1672094.0,2042417.0,2305825.0,22938409.0,1182,745,426695.0,369081.0,261248.0,127395.0,77551.0,32003.0,28281.0,27158.0,35751.0,84284.0,204227.0,442781.0,2116455.0,390,3077783.0,2691051.0,20976.0,10062.0,1.75,78.62,1467.61,7097.0,0.7053,5213.0,0.7345
22010,Forest Glen,1023402.0,912358.0,716416.0,766689.0,977414.0,1179294.0,1163718.0,964554.0,760971.0,800563.0,1307053.0,1404991.0,11977423.0,275,67,128244.0,111596.0,76582.0,35379.0,20946.0,9338.0,7531.0,6958.0,7424.0,18682.0,50261.0,120517.0,593458.0,158,766170.0,749980.0,6472.0,2677.0,1.54,49.75,398.22,2504.0,0.9354,489.0,0.1953
22529,Fuller Park,590923.0,593941.0,576885.0,546222.0,663164.0,644518.0,699742.0,660675.0,604430.0,597427.0,624542.0,702589.0,7505058.0,367,199,145908.0,117030.0,103662.0,44428.0,18764.0,9084.0,6812.0,7247.0,8518.0,21500.0,73020.0,128026.0,683999.0,62,750584.0,768995.0,1989.0,1126.0,1.53,57.78,173.7,853.0,0.7575,631.0,0.7397
22651,Gage Park,2595319.0,2647217.0,2397152.0,2384401.0,2670172.0,2898988.0,2946263.0,3074714.0,2585956.0,2425127.0,2857879.0,3127161.0,32610349.0,354,168,216683.0,181068.0,123550.0,51934.0,36005.0,25106.0,22030.0,19599.0,22164.0,39505.0,100329.0,201775.0,1039748.0,184,2188264.0,2138178.0,13282.0,3902.0,1.49,57.06,703.07,3492.0,0.8948,1973.0,0.565
23472,Garfield Ridge,1441562.0,1367572.0,1340630.0,1561797.0,1561194.0,1871890.0,1954834.0,1929342.0,1438736.0,1335332.0,1527418.0,1769850.0,19100157.0,462,144,424761.0,346070.0,275876.0,168760.0,129299.0,100931.0,94862.0,90908.0,104102.0,140777.0,222251.0,355999.0,2454596.0,248,1116803.0,1530611.0,10280.0,4178.0,1.36,43.45,627.9,3856.0,0.9229,1483.0,0.3846
24408,Grand Boulevard,1446566.0,1858785.0,1597030.0,1314220.0,1553999.0,1664996.0,1778202.0,1855897.0,1470409.0,1511646.0,1866706.0,2386954.0,20305410.0,937,421,295946.0,224982.0,211628.0,81785.0,38457.0,30858.0,19097.0,24137.0,23390.0,49613.0,141806.0,284468.0,1426167.0,199,2215399.0,1662885.0,11312.0,6887.0,1.87,51.64,421.33,5616.0,0.8154,4401.0,0.7837
25011,Greater Grand Crossing,2407392.0,2313099.0,2147071.0,2085397.0,2011262.0,2489436.0,2397967.0,2206563.0,2152395.0,2097805.0,2450609.0,2812830.0,27571826.0,438,336,682872.0,627715.0,503810.0,284119.0,95846.0,41077.0,31458.0,43672.0,39347.0,159102.0,395960.0,705234.0,3610212.0,318,1596431.0,2589207.0,20909.0,9896.0,1.54,66.74,863.48,7762.0,0.7844,5706.0,0.7351
26117,Hegewisch,201295.0,212003.0,207286.0,223586.0,234138.0,251503.0,265041.0,258064.0,217810.0,213517.0,239939.0,261641.0,2785823.0,96,19,42722.0,32809.0,28715.0,13194.0,5812.0,3563.0,2738.0,2407.0,2534.0,3563.0,9089.0,23464.0,170610.0,74,386497.0,247405.0,2436.0,1028.0,1.29,48.37,191.27,931.0,0.9056,335.0,0.3597
26442,Hermosa,570509.0,704809.0,685185.0,623713.0,765381.0,845942.0,833600.0,819654.0,680037.0,675053.0,770470.0,848429.0,8822782.0,186,113,396241.0,348798.0,272115.0,176307.0,150113.0,129053.0,116585.0,133320.0,129109.0,138861.0,218645.0,367666.0,2576813.0,120,1536031.0,1237835.0,11210.0,4182.0,1.51,60.37,397.38,3740.0,0.8943,2696.0,0.7209
26989,Humboldt Park,3134909.0,3099375.0,2939250.0,2754168.0,3274947.0,3423308.0,3518045.0,3639515.0,2865504.0,2910846.0,3709821.0,4162062.0,39431750.0,779,416,876032.0,747001.0,649624.0,430999.0,398936.0,387442.0,398853.0,394848.0,370430.0,429368.0,570825.0,913124.0,6567482.0,403,4598636.0,3937976.0,29607.0,11117.0,1.54,64.2,1362.0,9264.0,0.8332,6290.0,0.679
28455,Hyde Park,988250.0,902461.0,870778.0,788976.0,808066.0,929705.0,1042481.0,975926.0,776025.0,789191.0,1067337.0,1331594.0,11270790.0,769,356,324730.0,303773.0,269859.0,121997.0,113790.0,38104.0,31443.0,29445.0,33649.0,69385.0,157370.0,290450.0,1783995.0,133,1891759.0,3101341.0,26450.0,14815.0,3.11,51.04,300.22,13203.0,0.8912,8734.0,0.6615
28862,Irving Park,2100277.0,2044580.0,1978322.0,1991902.0,2449016.0,2953927.0,2696669.0,2573278.0,2129827.0,2021972.0,2296564.0,2628116.0,27864450.0,756,285,453447.0,390967.0,283445.0,152558.0,104088.0,67274.0,58824.0,56748.0,56423.0,84207.0,185079.0,367077.0,2260137.0,349,3223219.0,2823184.0,28204.0,12827.0,1.67,59.09,902.39,11782.0,0.9185,7373.0,0.6258
30490,Jefferson Park,1468384.0,1517614.0,1386699.0,1445982.0,1767611.0,1904462.0,1847645.0,1649511.0,1390194.0,1464302.0,1779826.0,1831012.0,19453242.0,555,121,205473.0,175073.0,138877.0,77432.0,49670.0,33642.0,25404.0,25187.0,26595.0,34718.0,70066.0,145422.0,1007559.0,266,1040983.0,1087315.0,14408.0,6615.0,1.49,56.25,663.71,6069.0,0.9175,2537.0,0.418
31298,Kenwood,1514588.0,1467831.0,1393508.0,1315174.0,1548120.0,1618034.0,1696199.0,1739934.0,1547276.0,1425469.0,1601969.0,1617184.0,18485286.0,628,266,235869.0,239079.0,194601.0,86687.0,57404.0,39143.0,35801.0,36274.0,35403.0,59247.0,145383.0,268211.0,1433102.0,64,1557425.0,1810971.0,9078.0,4831.0,3.43,46.01,153.82,4313.0,0.8928,2983.0,0.6916
